11001;14440
11002;445570
11004;11953
11005;14986
11007;10295
11008;37151
11009;25329
11013;22188
11016;16482
11018;9112
11021;8277
11022;17342
11023;25642
11024;19971
11025;7903
11029;24859
11030;8513
11035;17615
11037;14550
11038;7711
11039;19563
11040;32720
11044;17253
11050;8665
11052;11874
11053;17646
11054;12144
11055;20120
11056;17744
11057;13949
12002;10169
12005;14237
12007;19841
12009;15938
12014;37396
12021;32389
12025;75560
12026;20499
12029;15389
12030;15792
12034;7539
12035;19108
12040;22556
13001;11883
13002;2156
13003;19410
13004;15850
13006;8489
13008;33879
13010;10483
13011;25582
13012;8315
13013;13653
13014;17870
13016;8690
13017;17633
13019;15107
13021;9204
13023;8058
13025;31766
13029;10920
13031;12444
13035;13138
13036;9797
13037;10482
13040;38714
13044;7352
13046;9972
13049;22024
13053;14801
21001;88822
21002;28916
21003;19037
21004;134395
21005;39634
21006;31610
21007;46048
21008;19861
21009;72898
21010;40075
21011;16343
21012;72380
21013;42254
21014;22208
21015;106641
21016;74668
21017;24609
21018;46215
21019;37791
23002;28006
23003;22919
23009;1982
23016;37818
23023;7796
23024;8844
23025;32973
23027;33744
23032;6318
23033;9839
23038;10829
23039;8732
23044;11778
23045;17166
23047;11901
23050;18390
23052;14254
23060;11831
23062;23846
23064;4257
23077;30054
23081;10535
23086;14496
23088;35141
23094;27159
23096;20730
23097;10617
23098;4674
23099;12824
23100;4747
23101;17901
23102;14066
23103;13689
23104;8624
23105;11658
24001;27551
24007;9096
24008;5743
24009;8918
24011;8900
24014;11420
24016;7255
24020;22249
24028;5777
24033;13223
24038;19017
24041;6016
24043;8880
24045;9056
24048;12015
24054;7447
24055;17439
24059;14343
24062;88581
24066;13602
24086;10624
24094;14641
24104;20231
24107;31501
24109;13453
24130;7796
24133;6865
24134;21680
24135;9877
24137;5069
25005;6229
25014;35488
25015;9143
25018;10310
25023;8782
25031;13874
25037;11864
25043;4234
25044;5656
25048;11564
25050;7014
25068;6014
25072;23882
25084;7129
25091;21380
25105;21331
25107;9146
25110;28874
25112;31202
25117;6474
25118;2868
25119;13634
25120;7426
25121;27703
25122;5422
25123;9835
25124;5540
31003;14557
31004;17538
31005;116559
31006;11080
31012;13650
31022;21166
31033;18800
31040;21993
31042;2798
31043;33296
32003;15465
32006;9003
