LINKEBEEK;119;23100;HALLE-VILVOORDE
ST-GENESIUS-RODE;120;23101;HALLE-VILVOORDE
WEMMEL;121;23102;HALLE-VILVOORDE
WEZEMBEEK-OPPEM;122;23103;HALLE-VILVOORDE
LENNIK;123;23104;HALLE-VILVOORDE
AFFLIGEM;124;23105;HALLE-VILVOORDE
AARSCHOT;125;24001;LEUVEN
BEGIJNENDIJK;126;24007;LEUVEN
BEKKEVOORT;127;24008;LEUVEN
BERTEM;128;24009;LEUVEN
BIERBEEK;129;24011;LEUVEN
BOORTMEERBEEK;130;24014;LEUVEN
BOUTERSEM;131;24016;LEUVEN
DIEST;132;24020;LEUVEN
GEETBETS;133;24028;LEUVEN
HAACHT;134;24033;LEUVEN
HERENT;135;24038;LEUVEN
HOEGAARDEN;136;24041;LEUVEN
HOLSBEEK;137;24043;LEUVEN
HULDENBERG;138;24045;LEUVEN
KEERBERGEN;139;24048;LEUVEN
KORTENAKEN;140;24054;LEUVEN
KORTENBERG;141;24055;LEUVEN
LANDEN;142;24059;LEUVEN
LEUVEN;143;24062;LEUVEN
LUBBEEK;144;24066;LEUVEN
OUD-HEVERLEE;145;24086;LEUVEN
ROTSELAAR;146;24094;LEUVEN
TERVUREN;147;24104;LEUVEN
TIENEN;148;24107;LEUVEN
TREMELO;149;24109;LEUVEN
ZOUTLEEUW;150;24130;LEUVEN
LINTER;151;24133;LEUVEN
SCHERPENHEUVEL-ZICHEM;152;24134;LEUVEN
TIELT-WINGE;153;24135;LEUVEN
GLABBEEK;154;24137;LEUVEN
BEAUVECHAIN;155;25005;NIVELLES
BRAINE-L-ALLEUD;156;25014;NIVELLES
BRAINE-LE-CHATEAU;157;25015;NIVELLES
CHAUMONT-GISTOUX;158;25018;NIVELLES
COURT-ST-ETIENNE;159;25023;NIVELLES
GENAPPE;160;25031;NIVELLES
GREZ-DOICEAU;161;25037;NIVELLES
INCOURT;162;25043;NIVELLES
ITTRE;163;25044;NIVELLES
JODOIGNE;164;25048;NIVELLES
LA-HULPE;165;25050;NIVELLES
MONT-ST-GUIBERT;166;25068;NIVELLES
NIVELLES;167;25072;NIVELLES
PERWEZ;168;25084;NIVELLES
RIXENSART;169;25091;NIVELLES
TUBIZE;170;25105;NIVELLES
VILLERS-LA-VILLE;171;25107;NIVELLES
WATERLOO;172;25110;NIVELLES
WAVRE;173;25112;NIVELLES
CHASTRE;174;25117;NIVELLES
HELECINE;175;25118;NIVELLES
LASNE;176;25119;NIVELLES
ORP-JAUCHE;177;25120;NIVELLES
OTTIGNIES-LOUVAIN-LA-NEUVE;178;25121;NIVELLES
RAMILLIES;179;25122;NIVELLES
