Code,Name,Lat,Long
11001,AARTSELAAR,4.379282640420610,51.131157309504200
11002,ANTWERPEN,4.383194371658870,51.246009765248000
11004,BOECHOUT,4.519810227591120,51.163091492971700
11005,BOOM,4.375100707388670,51.095712163857800
11007,BORSBEEK,4.486486565570940,51.190710176159300
11008,BRASSCHAAT,4.491494876554690,51.302799002552100
11009,BRECHT,4.629965382309740,51.328813703800900
11013,EDEGEM,4.432060661249330,51.156122225036700
11016,ESSEN,4.453453573548340,51.444954581934600
11018,HEMIKSEM,4.342658355775410,51.141524762848100
11021,HOVE,4.483938881651890,51.145621049928000
11022,KALMTHOUT,4.479807803988230,51.407573279062200
11023,KAPELLEN,4.442329316276120,51.326256801323400
11024,KONTICH,4.437945078953690,51.123852351002600
11025,LINT,4.499926073017880,51.129491775844100
11029,MORTSEL,4.459305546816070,51.175528357271400
11030,NIEL,4.336828353650160,51.108659033552800
11035,RANST,4.590510333881970,51.192580260376600
11037,RUMST,4.422848306977570,51.094616541995500
11038,SCHELLE,4.346155169965160,51.122348845212600
11039,SCHILDE,4.577400539636910,51.254623035134200
11040,SCHOTEN,4.508515714280690,51.262169716959200
11044,STABROEK,4.377622076562330,51.327318242346100
11050,WIJNEGEM,4.514648241228390,51.228917281427600
11052,WOMMELGEM,4.524524995515880,51.210219434827300
11053,WUUSTWEZEL,4.602699797495550,51.394036842605300
11054,ZANDHOVEN,4.679392835070350,51.211056007677100
11055,ZOERSEL,4.674101983167630,51.255639157305400
11056,ZWIJNDRECHT,4.318427740697860,51.223355065284700
11057,MALLE,4.725855896507100,51.286268964173300
12002,BERLAAR,4.655923720501720,51.108768866686600
12005,BONHEIDEN,4.567835172812560,51.018010411228100
12007,BORNEM,4.249609549651440,51.089147855761900
12009,DUFFEL,4.517030056672910,51.095672047955600
12014,HEIST-OP-DEN-BERG,4.733092271972120,51.075171318675200
12021,LIER,4.568114999671440,51.116988882095200
12025,MECHELEN,4.452172598616510,51.029518743621800
12026,NIJLEN,4.657914896129030,51.147848476128900
12029,PUTTE,4.634030743613410,51.051548111296900
12030,PUURS,4.288816118659200,51.067238893264000
12034,ST-AMANDS,4.236601694193190,51.052968099013100
12035,ST-KATELIJNE-WAVER,4.530545912953820,51.061558161714300
12040,WILLEBROEK,4.380043072004920,51.046835345413600
13001,ARENDONK,5.071929268167910,51.328819615934800
13002,BAARLE-HERTOG,4.910712809728450,51.427559080065200
13003,BALEN,5.178238546764300,51.162152216049500
13004,BEERSE,4.815775805187890,51.306491772700600
13006,DESSEL,5.115782556992370,51.241518298109600
13008,GEEL,4.988359109920250,51.160208503306800
13010,GROBBENDONK,4.744198254124850,51.179339936276900
13011,HERENTALS,4.825337343876530,51.160029582013700
13012,HERENTHOUT,4.759116787837110,51.137444210439700
13013,HERSELT,4.878919048359080,51.048604623119800
13014,HOOGSTRATEN,4.782010443082120,51.430313047665800
13016,HULSHOUT,4.815815905787490,51.059568435927500
13017,KASTERLEE,4.943844887818930,51.247998404148500
13019,LILLE,4.835714304332490,51.253623061531400
13021,MEERHOUT,5.076106645091630,51.128314420262500
13023,MERKSPLAS,4.863375254971290,51.380224030501200
13025,MOL,5.148036822847650,51.219710763784000
13029,OLEN,4.881466886985240,51.164556880062100
13031,OUD-TURNHOUT,5.000664779385280,51.317685372118700
13035,RAVELS,5.018456054796250,51.425931581418300
13036,RETIE,5.069662411484240,51.257581324124100
13037,RIJKEVORSEL,4.771035576568210,51.358547793771300
13040,TURNHOUT,4.942706984322910,51.320909190383000
13044,VORSELAAR,4.778342962946180,51.214073447242300
13046,VOSSELAAR,4.886352763082970,51.305575876688500
13049,WESTERLO,4.881588256730610,51.102433125139000
13053,LAAKDAL,5.006708780050880,51.080693139975200
21001,ANDERLECHT,4.291314171596940,50.828926446940600
21002,AUDERGHEM,4.435381415023460,50.810861720758400
21003,BERCHEM-STE-AGATHE,4.294537059209220,50.865254724798500
21004,BRUXELLES,4.373464237305250,50.863703374521800
21005,ETTERBEEK,4.394669309222510,50.833646083795400
21006,EVERE,4.407798051504580,50.869567370980800
21007,FOREST,4.325094167996010,50.814148736108400
21008,GANSHOREN,4.308702734466670,50.873787826210000
21009,IXELLES,4.375342028668300,50.822330365033900
21010,JETTE,4.320737693149170,50.883228096523700
21011,KOEKELBERG,4.322515998192370,50.863124076418500
21012,MOLENBEEK-ST-JEAN,4.313587700216350,50.854941344808800
21013,ST-GILLES,4.344706538826210,50.830299600930000
21014,ST-JOSSE-TEN-NOODE,4.369286501176300,50.853786944885100
21015,SCHAERBEEK,4.384123539350070,50.862753381010800
21016,UCCLE,4.354937739121010,50.791724779143600
21017,WATERMAEL-BOITSFORT,4.421093951762260,50.797986181940900
21018,WOLUWE-ST-LAMBERT,4.435794914543190,50.846626288815000
21019,WOLUWE-ST-PIERRE,4.439788995050520,50.834492186795700
23002,ASSE,4.219089407776100,50.906697281111100
23003,BEERSEL,4.303465155943740,50.747945538307100
23009,BEVER,3.928689839639030,50.711375219808300
23016,DILBEEK,4.233439944839820,50.852878087440000
23023,GALMAARDEN,3.984798450809570,50.752744496036100
23024,GOOIK,4.100686558813680,50.779321574563000
23025,GRIMBERGEN,4.377533450709920,50.942630977119300
23027,HALLE,4.233396008621440,50.731402715667900
23032,HERNE,4.029094181348980,50.721491176507400
23033,HOEILAART,4.469683804855610,50.766311257946800
23038,KAMPENHOUT,4.557259369011880,50.939760668218800
23039,KAPELLE-OP-DEN-BOS,4.359314511930550,51.005823994779900
23044,LIEDEKERKE,4.092312704003750,50.867299606109400
